               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026695,            0.049207,            0.015046,             0.95653,             0.92035,             0.94602,             0.70662,            0.021679,            0.029992,           0.0079271,            0.007624,            0.007624,            0.007624
                  38,            0.026637,            0.048671,            0.014618,             0.96012,             0.92457,             0.95156,             0.71239,            0.021711,             0.02998,           0.0081033,            0.007558,            0.007558,            0.007558
                  39,            0.026769,            0.049384,            0.014741,              0.9543,             0.92163,             0.94747,             0.70877,            0.021598,            0.029785,           0.0071817,            0.007492,            0.007492,            0.007492
                  40,            0.026544,            0.048869,            0.014253,             0.95911,             0.91787,             0.94835,             0.71057,            0.021605,            0.029985,            0.006983,            0.007426,            0.007426,            0.007426
                  41,            0.026596,            0.049316,            0.014631,             0.96517,             0.91881,             0.95058,             0.71424,            0.021395,            0.029974,           0.0072539,             0.00736,             0.00736,             0.00736
                  42,            0.026375,            0.048662,            0.014308,             0.95204,             0.92163,              0.9461,             0.70913,            0.021646,            0.029837,           0.0075565,            0.007294,            0.007294,            0.007294
                  43,            0.026198,            0.048639,            0.014202,             0.96109,             0.92698,             0.95237,             0.71222,            0.021607,            0.029878,           0.0070146,            0.007228,            0.007228,            0.007228
                  44,            0.026339,            0.048299,            0.013935,             0.96143,             0.93331,             0.95227,             0.71652,            0.021696,            0.029816,           0.0073985,            0.007162,            0.007162,            0.007162
                  45,            0.026235,            0.047898,             0.01415,             0.95686,             0.92496,             0.95399,             0.71354,            0.021616,            0.029751,           0.0074479,            0.007096,            0.007096,            0.007096
                  46,            0.026109,             0.04852,            0.013866,             0.96239,             0.92709,             0.95001,             0.71394,            0.021567,             0.02967,           0.0072194,             0.00703,             0.00703,             0.00703
                  47,            0.026023,             0.04803,            0.013927,             0.96209,             0.92531,             0.95385,             0.71566,            0.021604,            0.029915,           0.0069765,            0.006964,            0.006964,            0.006964
                  48,            0.026029,            0.048175,            0.013493,             0.96108,             0.92662,             0.95365,             0.71714,            0.021524,             0.02989,           0.0069035,            0.006898,            0.006898,            0.006898
                  49,            0.025859,            0.048099,            0.013716,             0.97163,             0.92558,             0.95663,             0.72234,            0.021464,            0.029872,           0.0070928,            0.006832,            0.006832,            0.006832
                  50,            0.025884,            0.047758,            0.013752,             0.95885,             0.92647,             0.95324,             0.71798,            0.021471,            0.029721,           0.0071343,            0.006766,            0.006766,            0.006766
                  51,            0.025805,            0.047527,            0.013409,             0.96252,             0.93232,             0.95643,             0.72232,            0.021365,            0.029717,           0.0072249,              0.0067,              0.0067,              0.0067
                  52,            0.025637,            0.046994,            0.013603,             0.96796,             0.92986,             0.95191,             0.71962,            0.021427,            0.029753,           0.0070599,            0.006634,            0.006634,            0.006634
                  53,            0.025707,            0.047292,             0.01327,             0.96368,              0.9305,             0.95566,             0.72059,            0.021355,            0.029814,             0.00712,            0.006568,            0.006568,            0.006568
