               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059333,            0.017025,                   0,             0.92695,             0.85507,             0.90177,             0.38196,             0.04163,           0.0050349,                   0,            0.070091,           0.0033233,           0.0033233
                   1,             0.03844,           0.0094971,                   0,              0.9641,             0.91932,             0.95714,             0.54126,            0.031365,           0.0041887,                   0,            0.040047,           0.0066127,           0.0066127
                   2,            0.033733,           0.0080578,                   0,             0.94981,             0.90478,             0.95775,             0.56722,            0.031041,           0.0046842,                   0,           0.0099588,           0.0098581,           0.0098581
                   3,            0.030447,           0.0076842,                   0,             0.95759,             0.93201,             0.97188,             0.62045,            0.027492,           0.0039295,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.028596,           0.0072841,                   0,             0.97134,             0.93783,             0.97121,             0.64085,            0.027393,           0.0039613,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.027682,           0.0071042,                   0,             0.95994,             0.93288,             0.97241,             0.65164,             0.02594,           0.0038481,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.027093,           0.0069417,                   0,             0.97145,             0.94559,             0.97594,             0.60425,            0.029051,           0.0038074,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.02641,           0.0068405,                   0,             0.96286,             0.94859,             0.97665,             0.65809,            0.026495,           0.0036512,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.026031,            0.006771,                   0,             0.96903,             0.95395,             0.98048,             0.66102,            0.025953,            0.003625,                   0,            0.009538,            0.009538,            0.009538
                   9,              0.0258,           0.0067958,                   0,             0.96875,             0.95779,             0.97819,             0.66341,            0.025952,           0.0036511,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.025342,           0.0066602,                   0,             0.96146,             0.95937,             0.98198,             0.66422,            0.025885,           0.0036062,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.025215,           0.0066822,                   0,             0.96435,             0.96428,             0.98212,             0.65934,            0.025737,           0.0035344,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.024934,           0.0065912,                   0,             0.96439,              0.9653,             0.98301,             0.67192,            0.025348,           0.0035772,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.024773,           0.0065522,                   0,             0.95665,             0.96265,             0.98133,             0.67184,            0.025509,           0.0035511,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.024634,           0.0064958,                   0,             0.97054,             0.95826,             0.98405,              0.6754,            0.025397,           0.0034926,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.024471,           0.0065685,                   0,             0.96923,              0.9531,             0.98117,             0.66993,            0.025533,           0.0035258,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.024203,           0.0064695,                   0,             0.97864,             0.95685,             0.98223,             0.68216,            0.025014,           0.0034892,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.024147,           0.0064412,                   0,             0.97455,             0.95591,             0.98261,             0.67764,            0.024875,           0.0034563,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.024074,           0.0064434,                   0,             0.97702,             0.96154,             0.98242,             0.67775,            0.025165,            0.003484,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.024015,           0.0064572,                   0,             0.96852,             0.95779,             0.98251,               0.685,            0.024628,           0.0034982,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.023793,           0.0063652,                   0,             0.97381,              0.9594,             0.98186,             0.67838,            0.024736,           0.0034653,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.023698,           0.0064085,                   0,             0.96799,              0.9667,             0.98328,             0.68277,            0.024913,           0.0034579,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.023466,           0.0063948,                   0,             0.97773,             0.96154,             0.98373,             0.68427,            0.024817,           0.0034393,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.023496,           0.0063865,                   0,             0.97321,              0.9713,              0.9866,             0.68633,            0.024615,           0.0033942,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.023391,           0.0063193,                   0,             0.97663,             0.96717,             0.98763,             0.69019,             0.02451,           0.0033704,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.023265,           0.0063145,                   0,             0.96997,              0.9728,             0.98817,             0.69248,            0.024371,            0.003376,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.023224,           0.0063083,                   0,             0.97543,             0.96839,             0.98604,             0.69395,            0.024522,           0.0033881,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.023141,            0.006284,                   0,             0.97368,             0.97169,             0.98801,             0.69797,            0.024256,           0.0033594,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.022944,           0.0063242,                   0,             0.97402,             0.96623,             0.98612,             0.69477,            0.024326,           0.0033653,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.022823,            0.006244,                   0,             0.97915,             0.96932,              0.9875,             0.69313,            0.024253,            0.003357,                   0,            0.008152,            0.008152,            0.008152
                  30,             0.02308,           0.0062817,                   0,             0.97526,             0.96951,             0.98646,             0.69592,            0.024182,           0.0033609,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.022774,           0.0062111,                   0,             0.97245,             0.97685,             0.98916,             0.69484,            0.024294,           0.0033576,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.022795,           0.0062487,                   0,             0.97498,             0.97139,             0.98713,             0.69678,            0.024302,            0.003345,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.022645,           0.0061514,                   0,             0.97539,             0.96998,             0.98799,             0.69545,            0.024323,           0.0033512,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.022772,           0.0061561,                   0,             0.97671,              0.9728,             0.98853,             0.69819,            0.024211,           0.0033415,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.022539,           0.0061647,                   0,              0.9733,             0.97476,              0.9893,             0.70076,            0.024124,           0.0033346,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.022474,           0.0061832,                   0,             0.97821,             0.97233,             0.98801,             0.69925,            0.024053,           0.0033284,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.022415,           0.0061787,                   0,              0.9779,             0.96857,             0.98716,             0.69816,            0.024127,           0.0033245,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.022349,           0.0060831,                   0,             0.97962,              0.9693,             0.98914,             0.70006,            0.024109,           0.0033249,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.022284,           0.0061195,                   0,             0.98327,             0.96482,             0.98924,             0.69869,            0.024156,           0.0033365,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.022151,           0.0061564,                   0,             0.97275,             0.97467,             0.99046,              0.6976,            0.024183,           0.0033497,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.022251,           0.0060967,                   0,             0.97285,              0.9749,             0.99009,             0.69764,            0.024229,            0.003351,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.022085,           0.0061135,                   0,             0.97235,             0.97655,             0.98996,             0.69737,             0.02424,           0.0033498,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.022048,           0.0060667,                   0,             0.97062,             0.97628,             0.98954,             0.69716,            0.024198,           0.0033482,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.021824,           0.0061114,                   0,             0.97601,             0.97314,              0.9902,             0.69728,              0.0242,           0.0033474,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.021808,           0.0060494,                   0,             0.97515,             0.97562,             0.98986,             0.69693,            0.024218,           0.0033497,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.021701,           0.0060202,                   0,             0.97434,             0.97561,             0.98933,             0.69699,            0.024249,           0.0033544,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.021497,           0.0060139,                   0,              0.9765,              0.9747,             0.98909,             0.69674,            0.024243,           0.0033569,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.021699,           0.0060046,                   0,             0.97504,             0.97514,              0.9886,             0.69756,            0.024244,           0.0033602,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.021543,           0.0060471,                   0,             0.97474,             0.97514,             0.98888,             0.69766,            0.024234,           0.0033595,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.021471,           0.0060185,                   0,             0.97557,             0.97411,             0.98719,             0.69823,            0.024229,           0.0033589,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.021376,           0.0059606,                   0,             0.97477,             0.97467,             0.98696,             0.69869,            0.024212,           0.0033571,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.021342,           0.0059828,                   0,             0.97394,             0.97514,              0.9868,              0.6989,            0.024206,           0.0033566,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.021436,           0.0059354,                   0,             0.97424,             0.97553,             0.98689,             0.69918,            0.024196,           0.0033536,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.021252,           0.0059832,                   0,             0.97378,             0.97569,             0.98716,             0.69985,            0.024178,           0.0033549,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.021327,           0.0059555,                   0,               0.974,             0.97561,             0.98756,             0.69889,             0.02416,           0.0033537,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.021137,           0.0059389,                   0,             0.97379,             0.97582,             0.98734,             0.69906,            0.024153,           0.0033528,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.020939,           0.0059309,                   0,             0.97514,             0.97498,             0.98691,             0.69992,            0.024156,           0.0033522,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.020851,             0.00593,                   0,             0.97606,             0.97511,             0.98818,             0.70021,            0.024159,           0.0033525,                   0,            0.006238,            0.006238,            0.006238
                  59,             0.02082,           0.0058396,                   0,             0.97562,             0.97602,             0.98824,             0.70022,            0.024158,           0.0033535,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.020906,           0.0058431,                   0,             0.97607,             0.97553,              0.9882,             0.70046,            0.024157,           0.0033539,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.020823,           0.0058736,                   0,             0.97593,             0.97561,             0.98873,             0.70115,            0.024151,           0.0033542,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.020721,           0.0058468,                   0,             0.97559,              0.9746,               0.988,             0.70161,            0.024148,           0.0033547,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.020634,           0.0057592,                   0,             0.97602,             0.97374,             0.98859,             0.70165,            0.024149,           0.0033548,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.020475,           0.0058602,                   0,             0.97604,             0.97439,             0.98857,             0.70242,            0.024148,           0.0033543,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.020533,           0.0057718,                   0,             0.97603,             0.97386,             0.98801,             0.70191,            0.024141,           0.0033547,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.020474,           0.0058181,                   0,             0.97705,             0.97326,             0.98796,              0.7019,            0.024134,           0.0033545,                   0,             0.00571,             0.00571,             0.00571
                  67,              0.0205,           0.0057758,                   0,              0.9765,             0.97434,             0.98854,             0.70133,            0.024137,           0.0033555,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.020344,           0.0057752,                   0,             0.97645,              0.9742,             0.98836,             0.70218,            0.024132,           0.0033559,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.020276,           0.0057633,                   0,             0.97648,             0.97381,              0.9885,             0.70185,            0.024131,           0.0033568,                   0,            0.005512,            0.005512,            0.005512
